OrderID,CustomerID,ProductID,Quantity,OrderDate
ORD1162,C101,P22,9,2024-06-10
ORD1163,C138,P34,7,2024-06-11
ORD1164,C123,P24,9,2024-06-12
ORD1165,C116,P38,8,2024-06-13
ORD1166,C148,P33,4,2024-06-14
ORD1167,C138,P29,10,2024-06-15
ORD1168,C105,P38,10,2024-06-16
ORD1169,C123,P39,10,2024-06-17
ORD1170,C120,P33,9,2024-06-18
ORD1171,C114,P29,5,2024-06-19
ORD1172,C127,P36,6,2024-06-20
ORD1173,C150,P32,6,2024-06-21
ORD1174,C149,P27,9,2024-06-22
ORD1175,C999,P37,5,2024-06-23
ORD1176,C101,P22,6,2024-06-24
ORD1177,C111,P22,8,2024-06-25
ORD1178,C139,P999,4,2024-06-26
ORD1179,C102,P21,5,2024-06-27
ORD1180,C142,P26,8,2024-06-28
ORD1181,C127,P33,6,2024-06-29
ORD1182,C147,P27,9,2024-06-30
ORD1183,C121,P35,7,2024-07-01
ORD1184,C104,P23,10,2024-07-02
ORD1185,C123,P29,5,2024-07-03
ORD1186,C124,P24,4,2024-07-04
ORD1187,C148,P29,8,2024-07-05
ORD1188,C122,P29,5,2024-07-06
ORD1189,C142,P38,7,2024-07-07
ORD1190,C146,P26,2,2024-07-08
ORD1191,C114,P24,3,2024-07-09
ORD1192,C143,P35,8,2024-07-10
ORD1193,C146,P33,8,2024-07-11
ORD1194,C129,P28,2,2024-07-12
ORD1195,C136,P33,1,2024-07-13
ORD1196,C148,P30,10,2024-07-14
ORD1197,C115,P33,5,2024-07-15
ORD1198,C134,P22,7,2024-07-16
ORD1199,C148,P34,3,2024-07-17
ORD1200,C144,P36,7,2024-07-18
